name,description,sale,price,colors,photo,link
PUMA Fit Double Knit Men's Full-Zip Hoodie,Stay gym ready in the PUMA Fit Double Knit Full-Zip Hoodie. This regular-fit hoodie features performance materials that wick away moisture as you work up a sweat and is cut to reduce friction and pulling as you get busy with your workout.,$29.99,$80.00,"PUMA Navy-Neon Sun,Club Navy,PUMA Black-Yellow Burst,PUMA Black-Speed Green","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/523885/51/mod01/fnd/PNA/fmt/png/PUMA-Fit-Double-Knit-Mens-Full-Zip-Hoodie",https://us.puma.com/us/en/pd/puma-fit-double-knit-mens-full-zip-hoodie/523885?swatch=51&referrer-category=sale-men
Essentials Small Logo Men's Hoodie,"This hoodie is as classic as it gets. The timeless, understated look gets an eco-friendly twist with recycled fibers and support for the Forever Better Initiative, for fashion that feels as good as it looks.",$29.99,$45.00,"Puma Black,Medium Gray Heather,Peacoat,Dark Gray Heather,High Risk Red","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/586690/01/mod01/fnd/PNA/fmt/png/Essentials-Small-Logo-Men's-Hoodie",https://us.puma.com/us/en/pd/essentials-small-logo-mens-hoodie/586690?swatch=01&referrer-category=sale-men
PUMA Fit Double Knit Men's Full-Zip Hoodie,Stay gym ready in the PUMA Fit Double Knit Full-Zip Hoodie. This regular-fit hoodie features performance materials that wick away moisture as you work up a sweat and is cut to reduce friction and pulling as you get busy with your workout.,$39.99,$80.00,"PUMA Navy-Neon Sun,Club Navy,PUMA Black-Yellow Burst,PUMA Black-Speed Green","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/523885/07/mod01/fnd/PNA/fmt/png/PUMA-Fit-Double-Knit-Men's-Full-Zip-Hoodie",https://us.puma.com/us/en/pd/puma-fit-double-knit-mens-full-zip-hoodie/523885?swatch=07&referrer-category=sale-men
"Logo Men's 10"" Shorts","Looking to beat the heat but in cool style? Look no further than these knitted shorts, crafted from a mix of cotton and recycled polyester. With its elastic waistband and side pockets, these shorts are the perfect combo of comfortable and functional.",$14.99,$35.00,"Cotton Black-Puma White,Medium Gray Heather,Peacoat-Puma White","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/846793/01/mod01/fnd/PNA/fmt/png/Logo-Men's-10""-Shorts",https://us.puma.com/us/en/pd/logo-mens-10%22-shorts/846793?swatch=01&referrer-category=sale-men
PUMA Fit Double Knit Men's Full-Zip Hoodie,Stay gym ready in the PUMA Fit Double Knit Full-Zip Hoodie. This regular-fit hoodie features performance materials that wick away moisture as you work up a sweat and is cut to reduce friction and pulling as you get busy with your workout.,$54.99,$80.00,"PUMA Navy-Neon Sun,Club Navy,PUMA Black-Yellow Burst,PUMA Black-Speed Green","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/523885/14/mod01/fnd/PNA/fmt/png/PUMA-Fit-Double-Knit-Men's-Full-Zip-Hoodie",https://us.puma.com/us/en/pd/puma-fit-double-knit-mens-full-zip-hoodie/523885?swatch=14&referrer-category=sale-men
PUMA Blaster Men's Training Pants,"Put your training on full blast in the sleek and streamlined fit of our PUMA Blaster Training Pants. Featuring ergonomic cutlines, breathable panels and adjustable zips at the cuffs, these training pants are performance-ready.",$19.99,$55.00,"Puma Black-Puma White,PUMA Navy-Alpine Snow,Malachite-PUMA Black,Concrete Gray-Neon Sun","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/586280/43/mod01/fnd/PNA/fmt/png/PUMA-Blaster-Men's-Training-Pants",https://us.puma.com/us/en/pd/puma-blaster-mens-training-pants/586280?swatch=43&referrer-category=sale-men
ESS+ Multicolor Men's Hoodie,"We've taken our essential styles and levelled them up with our ESS+ collection. Add a pop of color to your look with this fleece-lined hoodie, featuring a multi-coloured PUMA logo on the chest.",$19.99,$55.00,"PUMA Black,Warm White","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/677171/65/mod01/fnd/PNA/fmt/png/ESS+-Multicolor-Men's-Hoodie",https://us.puma.com/us/en/pd/ess%2B-multicolor-mens-hoodie/677171?swatch=65&referrer-category=sale-men
Axelion Refresh Men's Running Shoes,"The Axelion Refresh is a fresh new running shoe that takes the Axelion design language to the next level. The upper features a molded saddle piece for added dimension and bold, exaggerated lacing. Plus, they're packed with support and will provide long-lasting comfort.",$55.99,$80.00,"PUMA Black-Cool Dark Gray,PUMA White-PUMA Silver","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/377911/01/sv01/fnd/PNA/fmt/png/Axelion-Refresh-Men's-Running-Shoes",https://us.puma.com/us/en/pd/axelion-refresh-mens-running-shoes/377911?swatch=01&referrer-category=sale-men
PUMA Fit Double Knit Men's Full-Zip Hoodie,Stay gym ready in the PUMA Fit Double Knit Full-Zip Hoodie. This regular-fit hoodie features performance materials that wick away moisture as you work up a sweat and is cut to reduce friction and pulling as you get busy with your workout.,$54.99,$80.00,"PUMA Navy-Neon Sun,Club Navy,PUMA Black-Yellow Burst,PUMA Black-Speed Green","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/523885/40/mod01/fnd/PNA/fmt/png/PUMA-Fit-Double-Knit-Men's-Full-Zip-Hoodie",https://us.puma.com/us/en/pd/puma-fit-double-knit-mens-full-zip-hoodie/523885?swatch=40&referrer-category=sale-men
Essentials Logo Men's Pants,Comfortable. Stylish. All the makings of a wardrobe staple. The Essenitals Logo Men's Pants are essential for a reason.,$29.99,$45.00,"Cotton Black,Medium Gray Heather","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/846822/01/mod01/fnd/PNA/fmt/png/Essentials-Logo-Men's-Pants",https://us.puma.com/us/en/pd/essentials-logo-mens-pants/846822?swatch=01&referrer-category=sale-men
Fit Polyspan Men's Training Joggers,"Make your game smarter, faster, and better in modern sporting staples equipped with the latest in our innovative athletic technology. Our Fit Polyspan Training Joggers are a contemporary spin on a sporting classic, featuring an adjustable waistband to tailor your fit, dryCELL moisture-wicking technology, and crisp seasonal graphics.",$24.99,$50.00,Medium Gray Heather,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/522123/03/mod01/fnd/PNA/fmt/png/Fit-Polyspan-Men's-Training-Joggers",https://us.puma.com/us/en/pd/fit-polyspan-mens-training-joggers/522123?swatch=03&referrer-category=sale-men
Tazon 6 FM Men's Sneakers,"A sleek, streamlined silhouette sets the Tazon 6 apart from the rest. Lace up the sixth edition of the PUMA running-inspired sneaker and enjoy a comfortable and stable feel.FEATURES + BENEFITS",$35.99,$70.00,"Puma White-Puma Black-Puma Silver,Puma Black-Puma Silver","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/189873/02/sv01/fnd/PNA/fmt/png/Tazon-6-FM-Men's-Sneakers",https://us.puma.com/us/en/pd/tazon-6-fm-mens-sneakers/189873?swatch=02&referrer-category=sale-men
PUMA Blaster Men's Training Pants,"Put your training on full blast in the sleek and streamlined fit of our PUMA Blaster Training Pants. Featuring ergonomic cutlines, breathable panels and adjustable zips at the cuffs, these training pants are performance-ready.",$27.99,$55.00,"Puma Black-Puma White,PUMA Navy-Alpine Snow,Malachite-PUMA Black,Concrete Gray-Neon Sun","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/586280/09/mod01/fnd/PNA/fmt/png/PUMA-Blaster-Men's-Training-Pants",https://us.puma.com/us/en/pd/puma-blaster-mens-training-pants/586280?swatch=09&referrer-category=sale-men
Axelion NXT Men's Running Shoes,"Comfort is key when you're pushing your running to the next level. These supportive running shoes feature a EVA heel insert for lightweight cushioning – and with a unique, moulded PUMA Formstrip detail, they're stylish to boot.",$45.99,$80.00,"Puma Black-Urban Red,Puma Black,Puma Black-Gum,Peacoat-Puma Black,High Risk Red-Puma Black","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/195656/06/sv01/fnd/PNA/fmt/png/Axelion-NXT-Men's-Running-Shoes",https://us.puma.com/us/en/pd/axelion-nxt-mens-running-shoes/195656?swatch=06&referrer-category=sale-men
Tazon 6 FM Men's Sneakers,"A sleek, streamlined silhouette sets the Tazon 6 apart from the rest. Lace up the sixth edition of the PUMA running-inspired sneaker and enjoy a comfortable and stable feel.FEATURES + BENEFITS",$34.99,$70.00,"Puma White-Puma Black-Puma Silver,Puma Black-Puma Silver","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/189873/03/sv01/fnd/PNA/fmt/png/Tazon-6-FM-Men's-Sneakers",https://us.puma.com/us/en/pd/tazon-6-fm-mens-sneakers/189873?swatch=03&referrer-category=sale-men
